Reference area,Air pollution exposure (Exposure to PM2.5): % of population_pred2000,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_pred2000,Average wages (Total): US dollars_pred2000,Employment rate (Men): % of working age population_pred2000,Employment rate (Men): Thousand persons_pred2000,Employment rate (Total): % of working age population_pred2000,Employment rate (Total): Thousand persons_pred2000,Employment rate (Women): % of working age population_pred2000,Employment rate (Women): Thousand persons_pred2000,Exchange rates (Total): National currency units/US dollar_pred2000,GDP per hour worked (Total): 2015=100_pred2000,GDP per hour worked (Total): US dollars_pred2000,Gender wage gap (Employees): Percentage_pred2000,Gender wage gap (Self-employed): Percentage_pred2000,Gross domestic product (GDP) (Total): Million US dollars_pred2000,Gross domestic product (GDP) (Total): US dollars/capita_pred2000,Purchasing power parities (PPP) (Total): National currency units/US dollar_pred2000,Trust in government (Total): Percentage_pred2000,Air pollution exposure (Exposure to PM2.5): % of population_slope,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre_slope,Average wages (Total): US dollars_slope,Employment rate (Men): % of working age population_slope,Employment rate (Men): Thousand persons_slope,Employment rate (Total): % of working age population_slope,Employment rate (Total): Thousand persons_slope,Employment rate (Women): % of working age population_slope,Employment rate (Women): Thousand persons_slope,Exchange rates (Total): National currency units/US dollar_slope,GDP per hour worked (Total): 2015=100_slope,GDP per hour worked (Total): US dollars_slope,Gender wage gap (Employees): Percentage_slope,Gender wage gap (Self-employed): Percentage_slope,Gross domestic product (GDP) (Total): Million US dollars_slope,Gross domestic product (GDP) (Total): US dollars/capita_slope,Purchasing power parities (PPP) (Total): National currency units/US dollar_slope,Trust in government (Total): Percentage_slope
Saudi Arabia,99.70250062266503,60.72706724782063,,,,,,,,3.750000000000001,,,,,891862.905245468,41512.22290121042,0.9067895438424074,,0.002417185554170979,0.3276560398505651,,,,,,,,1.2272153234004101e-17,,,,,45156.61817679344,644.8653304090352,0.046199759605910024,
Serbia,99.99999999999997,34.04259028642559,,,,,,,,39.763575128207776,,,,,46329.73946245015,5867.026886755135,19.45418776086899,,3.0924657946187017e-16,-0.38770809464508393,,,,,,,,3.5625679743589385,,,,,4553.56817673628,691.966413300381,1.2307669782608697,
Singapore,100.00000000000007,18.547564757160515,,,,,,,,1.5806157743842277,,,,,180976.85241182894,44556.880026671104,0.9242276029556642,,8.929908774393847e-16,-0.030912702366118643,,,,,,,,-0.01258465714285666,,,,,20721.27057783231,3090.6957813645095,-0.004011661576354664,
Slovak Republic,99.99999999999997,24.477684931507042,16183.113623291021,62.215405797101766,1205.3380049260995,55.63721014492785,2179.7617733990046,49.19778623188381,974.4233251231562,1.1287004187192053,60.68474206677547,24.875128593322188,20.795470350259393,32.62676693458775,68090.53646896221,12662.008198614232,0.49033764236453203,25.4620159565805,3.0924657946187017e-16,-0.3354958904109577,527.5639836403881,0.522739130434772,9.206995073891882,0.6605434782608652,17.6832266009857,0.786619565217362,8.47564039408862,-0.017064022167487033,2.627494286261667,1.0770295142309594,-0.4102327081168805,-0.6863118057794318,6238.822665517386,1138.595548048271,0.0014606783251232582,0.24728746247112424
Slovenia,100.00556288916567,22.970633872976236,33650.67045617476,67.56763768115962,493.1414987790008,62.82717391304391,911.1237891737919,57.95700362318871,417.97237484737525,0.7280602305418746,76.5556747799701,31.37333002244077,6.99221096259987,29.04009768500009,35912.88518916257,17861.063426875975,0.518839547783255,25.37957356676702,-0.0026642590286430055,-0.3351051058530493,706.4657015845569,0.23780434782608464,1.713598901098895,0.3271739130434738,3.00085470085465,0.41133695652173335,1.2876373626373592,0.007750928078817742,1.8506653998357496,0.7584223503010502,-0.09724499489999446,0.15745046571078333,2522.683855665014,1184.3488991488564,0.004510897044335153,0.3148779155089448
Spain,86.31549501867812,13.163078455791094,43588.351958807856,72.34886956521734,9673.183311330067,58.73707246376796,15541.567556650378,44.941275362318265,5868.378742856963,0.8551185763546787,87.37984743842412,45.23612166305452,17.652474473052393,39.67094427043958,911981.0598581731,21759.97307723225,0.7371773192118152,50.10350924336808,-1.9164374844334036,-0.16723462017435134,42.230403640396155,-0.3763804347825745,57.52159901477772,0.13148913043478766,235.68116748768327,0.6473586956521491,178.16007093596352,-0.001024455665024553,0.7073671477832613,0.3662005334975259,-0.47742157754355097,-0.9474773069852342,55028.132810836585,1035.9242431477799,-0.005184505418718957,-1.1140405718235218
Sweden,17.013036737234643,8.299192403486813,37141.02387964586,73.88863636363646,2161.9132512314973,72.03116883116877,4150.206871921153,70.12175324675337,1988.2968226601079,7.723716655172446,79.81935423743926,55.13482875862019,11.609351575505514,14.913346930267267,254320.156471923,28771.67413909454,9.274683849261038,50.069695388186005,-0.9226860523038651,-0.139789663760901,741.7931928029492,0.19496047430829458,26.381317733990763,0.18859401468097114,47.47942118226724,0.18002540937322647,21.097487684728836,0.03181831034482605,1.3282228280788073,0.9174634137931207,-0.20046795000304857,-0.06500826730343,16680.981962561727,1471.774954423647,-0.035642511330047866,0.48517801546569983
Switzerland,101.9336351183074,15.539764009962369,61890.99053051241,84.88697110423118,2108.3345287237753,77.2551513587891,3861.171538461538,69.57550739594092,1707.42744238046,1.356883250246284,86.92892803448308,60.83490180689682,23.91877158626346,66.49509270780163,263882.63363449275,36444.48760221759,1.7771263418718775,51.136427177485984,-2.0070707347446897,-0.2782133250311399,535.5564575221695,-0.06230650154798671,20.296310629514124,0.1263673890608857,41.93434615384622,0.31282249742002005,24.6830495356027,-0.02302126403940817,1.0089902241379138,0.7061150068965623,-0.4819641066483508,-1.5065458529669684,18999.065662068806,1969.20575657636,-0.03433893497536855,1.70831794256069
Tunisia,99.5825902864259,31.676440224159407,,,,,,,,,,,,,,,,,0.0024919053549197425,-0.02054981320049838,,,,,,,,,,,,,,,,
Türkiye,99.86181506849319,27.62003051058526,19442.77408993605,65.70024509803932,13151.713382352726,42.149754901960705,19360.966956522083,19.257720588235316,3692.2775735292817,0.22955541970475224,63.04903459014895,26.53999812709344,-1.4362898261990722,,650186.1976020336,10321.691665315535,0.26717000098531685,61.83825493678182,0.0005958904109588082,0.041942092154423335,526.3295503211995,0.19546568627450867,335.4487500000029,0.46041666666666736,451.07237154150573,0.6825367647058787,275.67996323529394,0.29701069753693643,2.68067665467975,1.1284098763546815,0.6024951350999738,,87188.97886009778,950.2169893571407,0.09310571970443084,-0.5054537706846628
Ukraine,99.85698692403469,20.557556039850965,,,,,,,,,,,,,,,,,-0.10446089663760381,-0.27575330012454413,,,,,,,,,,,,,,,,
United Arab Emirates,98.9199196762142,42.90498069738488,,,,,,,,,,,,,,,,,0.025683063511830827,0.03596724782066798,,,,,,,,,,,,,,,,
United Kingdom,95.05854420921787,14.768591531755874,44868.14605788188,77.81677339901483,14676.271182266035,71.22261083743848,27105.80320197076,64.74862068965524,12429.439901477948,0.6085173527093666,86.04310526305494,49.9021464748771,25.402871724975057,48.62690141316557,1553063.2056759298,26301.8726344225,0.7044341566502448,44.62133946300037,-1.840779825653851,-0.26327372353673983,553.1125772906389,0.04391625615763735,123.43485221674968,0.17282019704433388,270.55800492609876,0.2984482758620656,147.119581280787,0.005386326600984942,0.9624117472906462,0.5581668802955793,-0.5508752910098544,-0.9931023062198046,87179.34549310275,1172.438134059138,-0.0013773428571427265,-0.26354051049999944
United States,71.68794956412876,11.760292652553062,59112.83556385152,78.37491369458081,71496.95440394129,72.06789641379305,133426.568571429,65.96460600985219,61929.62677832553,1.0,79.70918926305421,55.037179687685466,22.332634319369276,54.54601161492701,10060975.876847029,35578.49838249106,1.0,46.997823989411245,-3.704892029887976,-0.23432278953922703,806.3710526650403,-0.2553102463054075,511.5991477832454,-0.1804821379310339,1042.0724630542038,-0.10949187192118125,530.4727733990158,8.267992973149128e-19,1.396423333497536,0.9641950088669841,-0.26884197061083454,-0.6543335857941234,577242.3645320324,1502.1856539557,8.267992973149128e-19,-0.6227120152940913
Uzbekistan,99.99999999999999,38.17222229140721,,,,,,,,,,,,,,,,,1.5914152147252332e-16,-0.03836475716064526,,,,,,,,,,,,,,,,
